,avgRating,Votes,approval_Index,budget,DomesticGross,WorldwideGross,runtime
217,7.2,179749.0,6.277671638600805,145000000,103412758,306941670,97.0
218,6.0,99492.0,4.948310509501986,145000000,68671925,121645390,124.0
219,6.8,234533.0,6.0546883583390185,144000000,128350574,229008658,117.0
220,6.1,221769.0,5.392725693408548,142000000,160942139,431942139,133.0
221,7.9,606661.0,7.607846901535335,140000000,257730019,386839614,127.0
222,6.7,430804.0,6.263453742789169,140000000,201578182,554600000,151.0
223,6.9,851608.0,6.800319902717403,140000000,176654505,370569776,124.0
224,7.1,163907.0,6.140454555005715,140000000,143528619,521170825,95.0
225,6.6,165625.0,5.703807761322743,140000000,130444603,285400000,127.0
226,5.7,183030.0,4.949945009985636,140000000,122523060,375740705,110.0
227,7.8,445976.0,7.333288797712047,140000000,111110575,456810575,154.0
228,6.0,170757.0,5.186766335076952,140000000,65014513,268314513,150.0
229,6.3,87924.0,5.1450239667989175,140000000,55483770,199646680,117.0
230,5.7,115244.0,4.755941370124737,140000000,48546770,166598362,117.0
231,5.4,119251.0,4.512269768587969,140000000,31153464,138836756,127.0
232,7.4,824625.0,7.285119362669507,139000000,403706375,821706375,121.0
233,7.6,556628.0,7.26580566142966,138000000,107509799,186976250,162.0
234,5.1,54780.0,3.9623685321705313,138000000,32116746,76416746,121.0
235,6.6,497617.0,6.238013716769339,137500000,134806913,265573859,112.0
236,5.6,270638.0,5.021945527029674,137000000,132177234,245031679,138.0
237,6.4,82669.0,5.199764047240606,137000000,32131830,85131830,106.0
238,7.2,218564.0,6.38124518670666,135000000,187168425,573068425,98.0
239,8.0,812869.0,7.878041959566026,135000000,183637894,532938302,156.0
240,7.2,270973.0,6.49510781564567,135000000,123477607,245724600,107.0
241,7.4,224903.0,6.57773007415148,135000000,93926386,212912137,138.0
